2.540000
DUNGEON
Crypt of Maal Il
1 5 10 68 70
3 2
10 0 0 0 0 10 0 10 0 0 0 0 10 0 0 10 0 0 0 0 0 0 10 10 0 0 10 0 0 10 0 0 10 0 0 0 0 0 0 0 10 10 
0 0 0 10 0 0 0 0 10 0 10 0 0 0 0 0 0 10 10 0 10 0 0 0 10 0 0 0 0 0 0 0 0 10 0 0 0 0 0 10 0 0 
0 0 10 0 0 10 10 10 0 0 0 0 0 10 0 0 
MONSTER 3 1 0 5
MONSTER 7 0 0 5
MONSTER 3 1 0 5
MONSTER 2 5 0 5
MONSTER 1 3 0 5
MONSTER 2 5 0 5
MONSTER 2 4 0 5
MONSTER 1 3 0 5
MONSTER 1 3 0 5
MONSTER 2 4 0 5
MONSTER 1 3 0 5
MONSTER 7 0 0 6
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 2 4 0 3
MONSTER 7 0 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 3 1 0 3
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 8 2 0 3
MONSTER 7 0 0 3
MONSTER 8 2 0 5
MONSTER 2 4 0 1
MONSTER 8 2 0 1
MONSTER 8 2 0 1
MONSTER 8 2 0 1
MONSTER 2 4 0 2
MONSTER 8 2 0 2
MONSTER 2 4 0 2
MONSTER 2 4 0 2
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 3 1 1 3
MONSTER 1 3 1 3
MONSTER 7 0 1 3
MONSTER 8 2 1 2
MONSTER 7 0 2 5
MONSTER 2 5 2 3
MONSTER 2 5 4 2
MONSTER 2 5 4 2
MONSTER 1 3 4 4
MONSTER 8 2 4 4
MONSTER 2 5 4 4
MONSTER 1 3 4 4
MONSTER 2 4 4 4
MONSTER 2 5 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Labrinth of Chiang Pola
2 5 10 36 64
0 2
0 0 0 0 0 0 0 3 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 3 0 0 0 3 0 3 0 3 0 0 0 3 3 
3 3 0 3 0 0 0 0 0 0 0 0 3 0 3 3 0 0 3 3 0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0 0 
0 3 0 0 0 0 0 0 3 0 3 0 0 0 0 0 
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 2 4 0 3
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 7 0 0 1
MONSTER 1 3 0 1
MONSTER 8 2 0 1
MONSTER 2 5 0 8
MONSTER 2 5 0 8
MONSTER 1 3 0 7
MONSTER 2 5 0 6
MONSTER 2 5 0 6
MONSTER 2 4 0 4
MONSTER 2 4 0 4
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 1 3 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 2 4 1 1
MONSTER 8 2 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 0
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 3 1 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 3 1 1 2
MONSTER 1 3 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 1 3 1 3
MONSTER 3 1 1 3
MONSTER 7 0 1 3
MONSTER 1 3 1 3
MONSTER 1 3 1 3
MONSTER 7 0 1 3
MONSTER 2 4 1 0
MONSTER 1 3 1 3
MONSTER 2 4 1 5
MONSTER 2 5 3 0
MONSTER 1 3 3 7
MONSTER 3 1 3 7
MONSTER 1 3 3 7
MONSTER 7 0 3 7
MONSTER 7 0 3 7
MONSTER 7 0 3 7
MONSTER 2 5 4 0
MONSTER 2 5 4 0
MONSTER 7 0 4 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Tomb of Tarath Wid
4 5 10 86 56
3 7
0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 3 0 0 3 0 0 0 3 0 3 0 3 0 3 0 0 0 3 0 
0 3 3 0 3 0 3 0 0 0 0 0 3 3 0 3 3 3 0 0 3 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 3 0 
0 0 0 0 0 3 0 0 0 0 3 0 0 0 3 0 
MONSTER 2 4 1 5
MONSTER 2 5 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Labrinth of Daar Wid
0 5 10 50 32
1 9
0 9 9 0 0 9 0 0 0 9 9 0 9 0 9 0 0 0 0 0 0 0 9 9 0 9 0 0 9 0 9 0 0 0 9 0 9 0 0 0 9 0 
9 0 0 0 0 0 9 0 0 0 0 9 9 0 0 0 0 0 0 0 9 0 0 0 0 9 0 9 0 9 0 9 0 0 0 0 9 0 0 9 9 0 
0 0 9 0 0 0 9 0 0 0 0 9 0 9 0 9 
MONSTER 2 5 0 8
MONSTER 2 5 0 8
MONSTER 2 5 0 8
MONSTER 2 4 0 4
MONSTER 3 1 0 1
MONSTER 2 4 0 1
MONSTER 8 2 1 2
MONSTER 3 1 1 2
MONSTER 2 4 1 2
MONSTER 3 1 1 3
MONSTER 7 0 1 0
MONSTER 7 0 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 7 0 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 1
MONSTER 2 5 2 8
MONSTER 1 3 4 0
MONSTER 2 4 4 0
MONSTER 7 0 4 2
MONSTER 2 5 4 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Labrinth of Daar Hoth
0 5 10 68 18
0 8
2 2 2 0 0 0 2 0 2 0 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 2 0 0 2 
0 0 2 0 2 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 2 0 2 2 0 0 0 0 0 0 0 0 0 2 
0 0 2 0 2 0 0 0 0 2 0 0 0 2 0 0 
MONSTER 2 5 0 8
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 8 2 0 3
MONSTER 8 2 0 3
MONSTER 8 2 0 3
MONSTER 8 2 0 3
MONSTER 2 4 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 4
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 2 4 0 2
MONSTER 7 0 0 4
MONSTER 3 1 0 1
MONSTER 1 3 1 4
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 4
MONSTER 1 3 1 2
MONSTER 3 1 1 2
MONSTER 7 0 1 4
MONSTER 3 1 1 4
MONSTER 3 1 3 4
MONSTER 3 1 3 4
MONSTER 8 2 3 4
MONSTER 2 4 3 4
MONSTER 8 2 3 4
MONSTER 8 2 3 4
MONSTER 8 2 3 4
MONSTER 1 3 3 4
MONSTER 1 3 3 4
MONSTER 1 3 3 4
MONSTER 7 0 3 4
MONSTER 7 0 3 4
MONSTER 7 0 3 1
MONSTER 7 0 3 2
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Tomb of Daar Il
3 5 10 84 30
0 9
0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 6 6 0 0 6 6 0 6 6 0 0 0 0 0 0 0 0 6 6 6 6 0 6 0 0 6 0 
0 0 6 0 0 0 0 0 0 0 0 6 0 6 0 6 0 6 0 0 6 0 0 6 0 0 6 6 0 0 6 0 0 0 0 6 0 0 0 6 0 0 
0 0 0 6 0 6 0 6 0 6 0 0 0 0 0 0 
MONSTER 8 2 0 4
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 8 2 1 3
MONSTER 2 4 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 1 3 1 3
MONSTER 2 4 1 3
MONSTER 1 3 1 3
MONSTER 2 4 1 3
MONSTER 2 4 1 3
MONSTER 2 4 1 3
MONSTER 2 4 1 3
MONSTER 1 3 1 3
MONSTER 2 4 1 3
MONSTER 3 1 1 3
MONSTER 1 3 1 3
MONSTER 3 1 1 3
MONSTER 1 3 1 3
MONSTER 3 1 1 3
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 8 2 1 2
MONSTER 2 4 1 2
MONSTER 8 2 1 2
MONSTER 7 0 1 2
MONSTER 3 1 1 2
MONSTER 3 1 1 2
MONSTER 3 1 2 0
MONSTER 3 1 2 0
MONSTER 1 3 2 0
MONSTER 2 5 2 3
MONSTER 7 0 2 2
MONSTER 1 3 3 8
MONSTER 7 0 4 1
MONSTER 2 4 4 1
MONSTER 7 0 4 1
MONSTER 1 3 4 1
MONSTER 2 5 4 1
MONSTER 7 0 4 1
MONSTER 2 5 4 4
MONSTER 2 5 4 4
MONSTER 8 2 4 0
MONSTER 2 5 4 0
MONSTER 3 1 4 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Warrens of Tien Il
3 5 10 122 66
3 4
0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 
1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 
MONSTER 1 3 0 8
MONSTER 1 3 0 4
MONSTER 3 1 0 8
MONSTER 1 3 0 2
MONSTER 8 2 0 2
MONSTER 7 0 0 2
MONSTER 3 1 0 6
MONSTER 7 0 0 1
MONSTER 7 0 0 8
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 8 2 0 3
MONSTER 1 3 1 9
MONSTER 3 1 1 9
MONSTER 1 3 1 0
MONSTER 2 4 1 0
MONSTER 3 1 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 2 4 1 0
MONSTER 3 1 1 0
MONSTER 7 0 1 0
MONSTER 3 1 1 0
MONSTER 7 0 1 0
MONSTER 2 4 1 0
MONSTER 1 3 1 2
MONSTER 1 3 1 1
MONSTER 8 2 1 2
MONSTER 2 4 1 1
MONSTER 1 3 2 1
MONSTER 7 0 2 1
MONSTER 1 3 2 1
MONSTER 2 5 3 2
MONSTER 2 5 3 4
MONSTER 3 1 4 2
MONSTER 1 3 4 2
MONSTER 3 1 4 2
MONSTER 7 0 4 2
MONSTER 7 0 4 2
MONSTER 3 1 4 2
MONSTER 2 5 4 5
MONSTER 2 5 4 2
MONSTER 2 5 4 1
MONSTER 2 5 4 1
MONSTER 2 5 4 1
MONSTER 2 5 4 1
MONSTER 2 5 4 0
MONSTER 2 5 4 0
MONSTER 2 5 4 0
MONSTER 8 2 4 2
MONSTER 8 2 4 2
MONSTER 8 2 4 2
MONSTER 8 2 4 2
MONSTER 8 2 4 2
MONSTER 7 0 4 6
MONSTER 2 4 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Dungeon of Tarath Quel
4 5 10 60 130
3 4
10 10 0 0 0 0 0 0 0 10 0 10 0 10 10 10 0 0 0 10 0 10 0 0 10 10 0 10 0 0 10 0 10 0 0 10 10 0 10 0 0 10 
0 0 0 10 0 0 0 10 0 10 0 10 10 0 0 0 10 0 0 0 0 0 0 0 10 10 10 0 0 0 0 0 10 0 0 0 0 0 0 0 0 10 
0 0 0 10 0 0 0 0 0 0 10 0 0 0 10 0 
MONSTER 2 5 0 9
MONSTER 3 1 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 3 1 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 3 1 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 3
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 2 4 0 2
MONSTER 2 4 0 2
MONSTER 3 1 0 3
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 8 2 0 4
MONSTER 8 2 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 8 2 0 4
MONSTER 2 4 0 5
MONSTER 3 1 1 7
MONSTER 2 5 1 5
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 1
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 1 3 1 1
MONSTER 7 0 1 2
MONSTER 3 1 1 4
MONSTER 8 2 1 3
MONSTER 2 4 1 3
MONSTER 2 4 1 3
MONSTER 7 0 2 0
MONSTER 3 1 3 7
MONSTER 3 1 3 9
MONSTER 2 5 3 9
MONSTER 1 3 3 9
MONSTER 7 0 3 9
MONSTER 7 0 3 9
MONSTER 1 3 3 7
MONSTER 8 2 4 3
MONSTER 7 0 4 3
MONSTER 2 5 4 3
MONSTER 2 5 4 3
MONSTER 2 5 4 3
MONSTER 1 3 4 3
MONSTER 3 1 4 0
MONSTER 2 5 4 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Tomb of Tal Quel
3 5 10 78 120
3 10
0 0 10 10 0 0 10 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 0 0 10 0 0 0 0 10 0 0 10 0 0 0 0 
0 10 0 10 10 10 0 0 10 0 0 0 0 0 0 0 0 10 0 0 0 10 0 0 0 10 10 0 0 0 0 0 0 10 0 0 10 0 0 10 0 0 
10 0 0 0 10 10 0 0 0 10 0 0 0 10 0 0 
MONSTER 8 2 1 2
MONSTER 7 0 1 2
MONSTER 1 3 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 8 2 1 2
MONSTER 1 3 1 4
MONSTER 3 1 1 4
MONSTER 3 1 1 4
MONSTER 2 5 2 2
MONSTER 3 1 2 4
MONSTER 2 5 2 4
MONSTER 2 4 2 0
MONSTER 7 0 3 7
MONSTER 2 5 4 7
MONSTER 2 5 4 7
MONSTER 2 5 4 8
MONSTER 1 3 4 6
MONSTER 2 4 4 6
MONSTER 2 5 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Warrens of Daar Jhor
4 5 10 24 26
1 5
2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 2 0 0 2 0 0 2 0 2 2 0 2 0 0 0 0 0 0 2 0 2 0 0 2 0 
2 0 0 2 0 0 0 2 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 2 2 0 2 0 0 0 2 0 0 
2 2 0 0 0 0 0 0 2 0 2 0 2 0 0 2 
MONSTER 2 5 0 9
MONSTER 8 2 0 4
MONSTER 1 3 0 2
MONSTER 3 1 0 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 8 2 1 1
MONSTER 8 2 1 1
MONSTER 8 2 1 1
MONSTER 1 3 1 1
MONSTER 2 5 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 8 2 2 2
MONSTER 8 2 2 2
MONSTER 2 4 2 2
MONSTER 1 3 2 2
MONSTER 2 5 2 2
MONSTER 2 4 2 5
MONSTER 8 2 2 6
MONSTER 2 4 4 0
MONSTER 1 3 4 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Crack of Brael Toor
4 5 10 34 14
1 6
0 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 7 0 0 0 0 
0 0 0 7 0 0 0 0 0 0 0 7 0 0 0 0 0 7 0 0 0 0 0 7 7 0 0 0 0 0 0 7 0 0 0 7 7 0 0 0 0 0 
0 0 0 0 0 0 0 0 7 0 0 7 0 7 0 0 
MONSTER 2 5 0 9
MONSTER 1 3 1 6
MONSTER 1 3 2 6
MONSTER 7 0 2 6
MONSTER 1 3 3 7
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Crypt of Tal Wid
4 5 10 74 142
1 8
5 0 5 0 0 5 0 0 0 0 5 0 5 5 0 0 0 0 5 0 5 0 0 5 0 0 0 5 0 0 0 0 0 0 5 5 0 0 0 5 5 0 
0 5 0 5 5 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 5 0 0 5 0 0 0 0 0 5 0 0 5 5 0 0 5 0 0 0 0 0 
0 5 0 0 0 0 0 5 0 0 0 5 5 0 0 0 
MONSTER 2 4 0 6
MONSTER 2 5 0 6
MONSTER 3 1 0 5
MONSTER 8 2 0 1
MONSTER 7 0 1 3
MONSTER 7 0 2 7
MONSTER 7 0 2 0
MONSTER 1 3 4 2
MONSTER 7 0 4 2
MONSTER 3 1 4 3
MONSTER 2 5 4 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 0
DUNGEON
Crypt of Maal Del
0 5 10 124 32
0 5
